Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown,Train_ID,Train_ID_Code,Station_Index,Prev_Delay,Delay_Class
KOAA,KOLKATA ,7,94.23,1.92,3.85,0.0,02501,0,0,0.0,Low
BDC,BANDEL JN ,11,90.38,5.77,3.85,0.0,02501,0,1,7.0,Low
NDAE,NABADWIP DHAM ,22,61.54,34.62,3.85,0.0,02501,0,2,11.0,Medium
KWAE,KATWA ,19,69.23,25.0,5.77,0.0,02501,0,3,22.0,Medium
AZ,AZIMGANJ JN ,14,86.54,7.69,5.77,0.0,02501,0,4,19.0,Low
JRLE,JANGIPUR ROAD ,19,59.62,32.69,5.77,1.92,02501,0,5,14.0,Medium
MLDT,MALDA TOWN ,73,17.31,34.62,48.08,0.0,02501,0,6,19.0,High
KNE,KISHANGANJ ,131,0.0,15.38,84.62,0.0,02501,0,7,73.0,High
NJP,NEW JALPAIGURI ,129,3.85,17.31,78.85,0.0,02501,0,8,131.0,High
NCB,NEW COOCH BEHAR ,167,0.0,15.38,84.62,0.0,02501,0,9,129.0,High
NOQ,NEW ALIPURDAUR ,156,1.92,13.46,84.62,0.0,02501,0,10,167.0,High
KOJ,KOKRAJHAR ,175,0.0,11.54,88.46,0.0,02501,0,11,156.0,High
NBQ,NEW BONGAIGAON ,166,1.92,11.54,86.54,0.0,02501,0,12,175.0,High
GLPT,GOALPARA TOWN ,169,3.85,7.69,88.46,0.0,02501,0,13,166.0,High
GHY,GUWAHATI ,230,0.0,3.85,96.15,0.0,02501,0,14,169.0,High
MYD,MANDERDISA ,262,0.0,0.0,100.0,0.0,02501,0,15,230.0,High
NHLG,NEW HAFLONG ,262,0.0,3.85,96.15,0.0,02501,0,16,262.0,High
BPB,BADARPUR JN ,237,0.0,5.77,94.23,0.0,02501,0,17,262.0,High
NKMG,NEW KARIMGANJ ,247,0.0,3.85,96.15,0.0,02501,0,18,237.0,High
DMR,DHARMANAGAR ,240,1.92,3.85,94.23,0.0,02501,0,19,247.0,High
AGTL,AGARTALA ,227,3.85,7.69,88.46,0.0,02501,0,20,240.0,High
AGTL,AGARTALA ,3,96.15,3.85,0.0,0.0,02502,1,0,0.0,Low
DMR,DHARMANAGAR ,16,50.0,50.0,0.0,0.0,02502,1,1,3.0,Medium
NKMG,NEW KARIMGANJ ,18,57.69,40.38,1.92,0.0,02502,1,2,16.0,Medium
BPB,BADARPUR JN ,29,30.77,61.54,7.69,0.0,02502,1,3,18.0,Medium
NHLG,NEW HAFLONG ,22,53.85,34.62,11.54,0.0,02502,1,4,29.0,Medium
MYD,MANDERDISA ,18,65.38,26.92,7.69,0.0,02502,1,5,22.0,Medium
GHY,GUWAHATI ,36,57.69,19.23,23.08,0.0,02502,1,6,18.0,Medium
GLPT,GOALPARA TOWN ,88,0.0,46.15,51.92,1.92,02502,1,7,36.0,High
NBQ,NEW BONGAIGAON ,74,17.31,34.62,48.08,0.0,02502,1,8,88.0,High
KOJ,KOKRAJHAR ,85,9.62,34.62,55.77,0.0,02502,1,9,74.0,High
NOQ,NEW ALIPURDAUR ,98,3.85,34.62,61.54,0.0,02502,1,10,85.0,High
NCB,NEW COOCH BEHAR ,127,0.0,23.08,76.92,0.0,02502,1,11,98.0,High
NJP,NEW JALPAIGURI ,98,15.38,21.15,63.46,0.0,02502,1,12,127.0,High
KNE,KISHANGANJ ,118,11.54,9.62,78.85,0.0,02502,1,13,98.0,High
MLDT,MALDA TOWN ,132,13.46,3.85,82.69,0.0,02502,1,14,118.0,High
JRLE,JANGIPUR ROAD ,156,11.54,3.85,84.62,0.0,02502,1,15,132.0,High
AZ,AZIMGANJ JN ,155,13.46,3.85,82.69,0.0,02502,1,16,156.0,High
KWAE,KATWA ,157,13.46,3.85,82.69,0.0,02502,1,17,155.0,High
NDAE,NABADWIP DHAM ,162,13.46,1.92,84.62,0.0,02502,1,18,157.0,High
BDC,BANDEL JN ,166,13.46,3.85,82.69,0.0,02502,1,19,162.0,High
KOAA,KOLKATA ,165,13.46,5.77,80.77,0.0,02502,1,20,166.0,High
GHY,GUWAHATI ,13,75.0,21.15,3.85,0.0,02518,2,0,0.0,Low
GLPT,GOALPARA TOWN ,57,3.85,65.38,30.77,0.0,02518,2,1,13.0,Medium
NBQ,NEW BONGAIGAON ,42,23.08,57.69,19.23,0.0,02518,2,2,57.0,Medium
KOJ,KOKRAJHAR ,50,19.23,53.85,26.92,0.0,02518,2,3,42.0,Medium
NOQ,NEW ALIPURDAUR ,65,9.62,48.08,42.31,0.0,02518,2,4,50.0,High
